ENERDATA,SBS,EF,IEA,flow,Navigate
"Diesel, heating oil final consumption of construction.Mtoe",EN,GDO,NONBIODIES,CONSTRUC,
NA,EN,RFO,NA,,
NA,EN,OLQ,NA,,
Natural gas final consumption of construction.Mtoe,EN,NGS,NATGAS,CONSTRUC,
NA,EN,OGS,NA,,
NA,EN,NUC,NA,,
NA,EN,STE,NA,,
NA,EN,HYD,NA,,
NA,EN,WND,NA,,
NA,EN,SOL,NA,,
Biomass final consumption of construction.Mtoe,EN,BMSWAS,NA,NA,
NA,EN,GEO,NA,,
NA,EN,MET,NA,,
NA,EN,ETH,NA,,
NA,EN,BGDO,BIODIESEL,CONSTRUC,
NA,EN,H2F,NA,,
Electricity final consumption of construction.Mtoe,EN,ELC,ELECTR,CONSTRUC,
NA,EN,PHEVGSL,NA,,
NA,EN,PHEVGDO,NA,,
NA,EN,CHEVGSL,NA,,
NA,EN,CHEVGDO,NA,,
NA,EN,SLD,NA,,
NA,EN,GAS,NA,,
NA,EN,LQD,NA,,
NA,EN,OLQT,NA,,
NA,EN,NFF,NA,,
NA,EN,NEF,NA,,
NA,EN,HEATPUMP,NA,,
NA,TX,REN,NA,,
Coal and lignite final consumption of textiles and leather.Mtoe,TX,HCL,BITCOAL,TEXTILES,
NA,TX,LGN,LIGNITE,TEXTILES,
NA,TX,CRO,NA,,
NA,TX,LPG,LPG,TEXTILES,
NA,TX,GSL,NONBIOGASO,TEXTILES,
NA,TX,KRS,NA,,
"Diesel, heating oil final consumption of textiles and leather.Mtoe",TX,GDO,NONBIODIES,TEXTILES,
NA,TX,RFO,NA,,
NA,TX,OLQ,NA,,
Natural gas final consumption of textiles and leather.Mtoe,TX,NGS,NATGAS,TEXTILES,
NA,TX,OGS,NA,,
NA,TX,NUC,NA,,
NA,TX,STE,NA,,
NA,TX,HYD,NA,,
NA,TX,WND,NA,,
NA,TX,SOL,NA,,
Biomass final consumption of textiles and leather.Mtoe,TX,BMSWAS,NA,TEXTILES,
NA,TX,GEO,NA,,
NA,TX,MET,NA,,
NA,TX,ETH,NA,,
NA,TX,BGDO,NA,,
NA,TX,H2F,NA,,
Electricity final consumption of textiles and leather.Mtoe,TX,ELC,ELECTR,TEXTILES,
