ENERDATA,SBS,EF,IEA,flow
NA,FD,HYD,HYDRO,FOODPRO
NA,FD,WND,WIND,FOODPRO
NA,FD,SOL,SOLAR_PV,FOODPRO
Biomass final consumption of food and tobacco.Mtoe,FD,BMSWAS,PRIMARY_SOLID_BIOFUEL,FOODPRO
NA,FD,GEO,GEOTHERMAL,FOODPRO
NA,FD,MET,NA,FOODPRO
NA,FD,ETH,ETHANE,FOODPRO
NA,FD,BGDO,BIODIESEL,FOODPRO
NA,FD,H2F,NA,FOODPRO
Electricity final consumption of food and tobacco.Mtoe,FD,ELC,ELECTRICITY,FOODPRO
NA,FD,STE1AL,NA,FOODPRO
Heat final consumption of food and tobacco.Mtoe,FD,STE1AH,MAINHEAT,FOODPRO
NA,FD,STE1AD,NA,FOODPRO
NA,FD,STE1AR,NA,FOODPRO
NA,FD,STE1AG,NA,FOODPRO
NA,FD,STE1AB,NA,FOODPRO
NA,FD,STE1AH2F,NA,FOODPRO
NA,FD,STE2LGN,NA,FOODPRO
NA,FD,STE2OSL,NA,FOODPRO
NA,FD,STE2GDO,NA,FOODPRO
NA,FD,STE2RFO,NA,FOODPRO
NA,FD,STE2OLQ,NA,FOODPRO
NA,FD,STE2NGS,NA,FOODPRO
NA,FD,STE2OGS,NA,FOODPRO
NA,FD,STE2BMS,NA,FOODPRO
NA,FD,PHEVGSL,NA,FOODPRO
NA,FD,PHEVGDO,NA,FOODPRO
NA,FD,CHEVGSL,NA,FOODPRO
NA,FD,CHEVGDO,NA,FOODPRO
NA,FD,SLD,NA,FOODPRO
NA,FD,GAS,NA,FOODPRO
NA,FD,LQD,NA,FOODPRO
NA,FD,OLQT,NA,FOODPRO
NA,FD,NFF,NA,FOODPRO
NA,FD,NEF,NA,FOODPRO
NA,FD,HEATPUMP,NA,FOODPRO
NA,EN,REN,NA,CONSTRUC
Coal and lignite final consumption of construction.Mtoe,EN,HCL,COAL,CONSTRUC
NA,EN,LGN,LIGNITE,CONSTRUC
Oil final consumption of construction.Mtoe,EN,CRO,CRUDE_OIL,CONSTRUC
NA,EN,LPG,LPG,CONSTRUC
NA,EN,GSL,MOTOR_GASOLINE_NONBIO,CONSTRUC
NA,EN,KRS,KEROSENE_JET_NONBIO,CONSTRUC
"Diesel, heating oil final consumption of construction.Mtoe",EN,GDO,GAS_DIESEL_OIL_NONBIO,CONSTRUC
NA,EN,RFO,FUEL_OIL_RESIDUAL,CONSTRUC
NA,EN,OLQ,LIQBIOFUEL_OTH,CONSTRUC
Natural gas final consumption of construction.Mtoe,EN,NGS,NATURAL_GAS,CONSTRUC
NA,EN,OGS,TCOKEOVS,CONSTRUC
NA,EN,NUC,NUCLEAR,CONSTRUC
NA,EN,STE,NA,CONSTRUC
NA,EN,HYD,HYDRO,CONSTRUC
NA,EN,WND,WIND,CONSTRUC
NA,EN,SOL,SOLAR_PV,CONSTRUC
Biomass final consumption of construction.Mtoe,EN,BMSWAS,PRIMARY_SOLID_BIOFUEL,CONSTRUC
NA,EN,GEO,GEOTHERMAL,CONSTRUC
NA,EN,MET,NA,CONSTRUC
NA,EN,ETH,ETHANE,CONSTRUC
NA,EN,BGDO,BIODIESEL,CONSTRUC
NA,EN,H2F,NA,CONSTRUC
Electricity final consumption of construction.Mtoe,EN,ELC,ELECTRICITY,CONSTRUC
NA,EN,STE1AL,NA,CONSTRUC
Heat final consumption of construction.Mtoe,EN,STE1AH,MAINHEAT,CONSTRUC
NA,EN,STE1AD,NA,CONSTRUC
NA,EN,STE1AR,NA,CONSTRUC
NA,EN,STE1AG,NA,CONSTRUC
NA,EN,STE1AB,NA,CONSTRUC
NA,EN,STE1AH2F,NA,CONSTRUC
NA,EN,STE2LGN,NA,CONSTRUC
NA,EN,STE2OSL,NA,CONSTRUC
NA,EN,STE2GDO,NA,CONSTRUC
NA,EN,STE2RFO,NA,CONSTRUC
NA,EN,STE2OLQ,NA,CONSTRUC
NA,EN,STE2NGS,NA,CONSTRUC
NA,EN,STE2OGS,NA,CONSTRUC
NA,EN,STE2BMS,NA,CONSTRUC
NA,EN,PHEVGSL,NA,CONSTRUC
NA,EN,PHEVGDO,NA,CONSTRUC
NA,EN,CHEVGSL,NA,CONSTRUC
NA,EN,CHEVGDO,NA,CONSTRUC
NA,EN,SLD,NA,CONSTRUC
NA,EN,GAS,NA,CONSTRUC
NA,EN,LQD,NA,CONSTRUC
NA,EN,OLQT,NA,CONSTRUC
NA,EN,NFF,NA,CONSTRUC
NA,EN,NEF,NA,CONSTRUC
NA,EN,HEATPUMP,NA,CONSTRUC
NA,TX,REN,NA,TEXTILES
Coal and lignite final consumption of textiles and leather.Mtoe,TX,HCL,COAL,TEXTILES
NA,TX,LGN,LIGNITE,TEXTILES
Oil final consumption of textiles and leather.Mtoe,TX,CRO,CRUDE_OIL,TEXTILES
NA,TX,LPG,LPG,TEXTILES
NA,TX,GSL,MOTOR_GASOLINE_NONBIO,TEXTILES
NA,TX,KRS,KEROSENE_JET_NONBIO,TEXTILES
"Diesel, heating oil final consumption of textiles and leather.Mtoe",TX,GDO,GAS_DIESEL_OIL_NONBIO,TEXTILES
Heavy fuel oil final consumption of textiles and leather.Mtoe,TX,RFO,FUEL_OIL_RESIDUAL,TEXTILES
NA,TX,OLQ,LIQBIOFUEL_OTH,TEXTILES
Natural gas final consumption of textiles and leather.Mtoe,TX,NGS,NATURAL_GAS,TEXTILES
NA,TX,OGS,TCOKEOVS,TEXTILES
NA,TX,NUC,NUCLEAR,TEXTILES
NA,TX,STE,NA,TEXTILES
NA,TX,HYD,HYDRO,TEXTILES
NA,TX,WND,WIND,TEXTILES
NA,TX,SOL,SOLAR_PV,TEXTILES
Biomass final consumption of textiles and leather.Mtoe,TX,BMSWAS,PRIMARY_SOLID_BIOFUEL,TEXTILES
NA,TX,GEO,GEOTHERMAL,TEXTILES
NA,TX,MET,NA,TEXTILES
NA,TX,ETH,ETHANE,TEXTILES
NA,TX,BGDO,BIODIESEL,TEXTILES
NA,TX,H2F,NA,TEXTILES
Electricity final consumption of textiles and leather.Mtoe,TX,ELC,ELECTRICITY,TEXTILES
NA,TX,STE1AL,NA,TEXTILES
Heat final consumption of textiles and leather.Mtoe,TX,STE1AH,MAINHEAT,TEXTILES
NA,TX,STE1AD,NA,TEXTILES
NA,TX,STE1AR,NA,TEXTILES
NA,TX,STE1AG,NA,TEXTILES
NA,TX,STE1AB,NA,TEXTILES
NA,TX,STE1AH2F,NA,TEXTILES
NA,TX,STE2LGN,NA,TEXTILES
NA,TX,STE2OSL,NA,TEXTILES
NA,TX,STE2GDO,NA,TEXTILES
NA,TX,STE2RFO,NA,TEXTILES
NA,TX,STE2OLQ,NA,TEXTILES
NA,TX,STE2NGS,NA,TEXTILES
NA,TX,STE2OGS,NA,TEXTILES
NA,TX,STE2BMS,NA,TEXTILES
NA,TX,PHEVGSL,NA,TEXTILES
NA,TX,PHEVGDO,NA,TEXTILES
NA,TX,CHEVGSL,NA,TEXTILES
NA,TX,CHEVGDO,NA,TEXTILES
NA,TX,SLD,NA,TEXTILES
NA,TX,GAS,NA,TEXTILES
NA,TX,LQD,NA,TEXTILES
NA,TX,OLQT,NA,TEXTILES
NA,TX,NFF,NA,TEXTILES
NA,TX,NEF,NA,TEXTILES
NA,TX,HEATPUMP,NA,TEXTILES
NA,OE,REN,NA,MINING
Coal and lignite final consumption of mining.Mtoe,OE,HCL,COAL,MINING
NA,OE,LGN,LIGNITE,MINING
Oil final consumption of mining.Mtoe,OE,CRO,CRUDE_OIL,MINING
NA,OE,LPG,LPG,MINING
NA,OE,GSL,MOTOR_GASOLINE_NONBIO,MINING
NA,OE,KRS,KEROSENE_JET_NONBIO,MINING
"Diesel, heating oil final consumption of mining.Mtoe",OE,GDO,GAS_DIESEL_OIL_NONBIO,MINING
NA,OE,RFO,FUEL_OIL_RESIDUAL,MINING
NA,OE,OLQ,LIQBIOFUEL_OTH,MINING
Natural gas final consumption of mining.Mtoe,OE,NGS,NATURAL_GAS,MINING
NA,OE,OGS,TCOKEOVS,MINING
NA,OE,NUC,NUCLEAR,MINING
NA,OE,STE,NA,MINING
NA,OE,HYD,HYDRO,MINING
NA,OE,WND,WIND,MINING
NA,OE,SOL,SOLAR_PV,MINING
Biomass final consumption of mining.Mtoe,OE,BMSWAS,PRIMARY_SOLID_BIOFUEL,MINING
NA,OE,GEO,GEOTHERMAL,MINING
NA,OE,MET,NA,MINING
NA,OE,ETH,ETHANE,MINING
NA,OE,BGDO,BIODIESEL,MINING
NA,OE,H2F,NA,MINING
Electricity final consumption of mining.Mtoe,OE,ELC,ELECTRICITY,MINING
NA,OE,STE1AL,NA,MINING
Heat final consumption of mining.Mtoe,OE,STE1AH,MAINHEAT,MINING
NA,OE,STE1AD,NA,MINING
NA,OE,STE1AR,NA,MINING
NA,OE,STE1AG,NA,MINING
NA,OE,STE1AB,NA,MINING
NA,OE,STE1AH2F,NA,MINING
NA,OE,STE2LGN,NA,MINING
NA,OE,STE2OSL,NA,MINING
NA,OE,STE2GDO,NA,MINING
NA,OE,STE2RFO,NA,MINING
NA,OE,STE2OLQ,NA,MINING
NA,OE,STE2NGS,NA,MINING
NA,OE,STE2OGS,NA,MINING
NA,OE,STE2BMS,NA,MINING
NA,OE,PHEVGSL,NA,MINING
NA,OE,PHEVGDO,NA,MINING
NA,OE,CHEVGSL,NA,MINING
NA,OE,CHEVGDO,NA,MINING
NA,OE,SLD,NA,MINING
NA,OE,GAS,NA,MINING
NA,OE,LQD,NA,MINING
NA,OE,OLQT,NA,MINING
NA,OE,NFF,NA,MINING
NA,OE,NEF,NA,MINING
NA,OE,HEATPUMP,NA,MINING
NA,OI,REN,NA,TOTIND
Coal and lignite final consumption of industry.Mtoe,OI,HCL,COAL,TOTIND
NA,OI,LGN,LIGNITE,TOTIND
Oil final consumption of industry.Mtoe,OI,CRO,CRUDE_OIL,TOTIND
NA,OI,LPG,LPG,TOTIND
NA,OI,GSL,MOTOR_GASOLINE_NONBIO,TOTIND
NA,OI,KRS,KEROSENE_JET_NONBIO,TOTIND
"Diesel, heating oil final consumption of industry.Mtoe",OI,GDO,GAS_DIESEL_OIL_NONBIO,TOTIND
