ENERDATA,SBS,EF
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OE,OGS
NA,OE,NUC
NA,OE,STE
NA,OE,HYD
NA,OE,WND
NA,OE,SOL
NA,OE,BMSWAS
NA,OE,GEO
NA,OE,MET
NA,OE,ETH
NA,OE,BGDO
NA,OE,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,OE,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OE,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OE,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,OE,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,OE,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OE,STE1AG
NA,OE,STE1AB
NA,OE,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OE,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OE,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,OE,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,OE,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,OE,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OE,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OE,STE2OGS
NA,OE,STE2BMS
NA,OE,PHEVGSL
NA,OE,PHEVGDO
NA,OE,CHEVGSL
NA,OE,CHEVGDO
NA,OE,SLD
NA,OE,GAS
NA,OE,LQD
NA,OE,OLQT
NA,OE,NFF
NA,OE,NEF
NA,OE,HEATPUMP
NA,OI,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OI,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OI,LGN
NA,OI,CRO
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,OI,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,OI,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,OI,KRS
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,OI,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,OI,RFO
NA,OI,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OI,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OI,OGS
NA,OI,NUC
NA,OI,STE
NA,OI,HYD
NA,OI,WND
NA,OI,SOL
NA,OI,BMSWAS
NA,OI,GEO
NA,OI,MET
NA,OI,ETH
NA,OI,BGDO
NA,OI,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,OI,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OI,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OI,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,OI,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,OI,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OI,STE1AG
NA,OI,STE1AB
NA,OI,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OI,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OI,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,OI,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,OI,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,OI,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OI,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OI,STE2OGS
NA,OI,STE2BMS
NA,OI,PHEVGSL
NA,OI,PHEVGDO
NA,OI,CHEVGSL
NA,OI,CHEVGDO
NA,OI,SLD
NA,OI,GAS
NA,OI,LQD
NA,OI,OLQT
NA,OI,NFF
NA,OI,NEF
NA,OI,HEATPUMP
NA,SE,REN
NA,SE,HCL
NA,SE,LGN
NA,SE,CRO
NA,SE,LPG
NA,SE,GSL
NA,SE,KRS
NA,SE,GDO
NA,SE,RFO
NA,SE,OLQ
NA,SE,NGS
